"";"HumanEntrez"
"1";4509
"2";4541
"3";4514
"4";4536
"5";4513
"6";4519
"7";4535
"8";4512
"9";4539
"10";4508
"11";4538
"12";4540
"13";4537
"14";102724770
"15";102724788
"16";727764
"17";107987373
"18";102723407
"19";7404
"20";83259
"21";5940
"22";378951
"23";378948
"24";378949
"25";159163
"26";378950
"27";9087
"28";6736
"29";57135
"30";57054
"31";1617
"32";57055
"33";8284
"34";159119
"35";86614
"36";102723532
"37";90655
"38";90665
"39";64595
"40";8287
"41";8653
"42";7544
"43";55423
"44";4331
"45";152
"46";7572
"47";10916
"48";4360
"49";57026
"50";2114
"51";11047
"52";4155
"53";203447
"54";26792
"55";57606
"56";221178
"57";386674
"58";386678
"59";9073
"60";3998
"61";23244
"62";51804
"63";84679
"64";57473
"65";57187
"66";340596
"67";8780
"68";4522
"69";162655
"70";6014
"71";9388
"72";51124
"73";64743
"74";56261
"75";10699
"76";132299
"77";10333
"78";638
"79";64800
"80";3559
"81";1816
"82";51046
"83";115426
"84";140290
"85";9619
"86";149708
"87";84735
"88";54059
"89";56271
"90";3763
"91";220134
"92";406923
"93";26767
"94";94104
"95";100132304
"96";109729126
"97";8888
"98";64693
"99";7267
"100";54675
"101";340595
"102";63939
"103";521
"104";5688
"105";3698
"106";3839
"107";139189
"108";57692
"109";5891
"110";55007
"111";406885
"112";122525
"113";11168
"114";3449
"115";3440
"116";3443
"117";3447
"118";3444
"119";3451
"120";191
"121";9229
"122";57156
"123";84889
"124";23544
"125";83608
"126";128553
"127";55296
"128";26747
"129";795
"130";6615
"131";51371
"132";6567
"133";171483
"134";171484
"135";171482
"136";3911
"137";158747
"138";553158
"139";8532
"140";158219
"141";22803
"142";55251
"143";10449
"144";8530
"145";220164
"146";22944
"147";8224
"148";30001
"149";875
"150";4515
"151";245938
"152";337960
"153";9575
"154";8544
"155";128434
"156";85417
"157";51605
"158";55245
"159";158833
"160";2963
"161";23492
"162";11099
"163";9371
"164";10928
"165";83539
"166";91464
"167";29058
"168";23626
"169";6407
"170";6406
"171";11020
"172";203427
"173";26019
"174";102724428
"175";150094
"176";10464
"177";4685
"178";2334
"179";128821
"180";54875
"181";128602
"182";7528
"183";6285
"184";51637
"185";81543
"186";79710
"187";1896
"188";83876
"189";59340
"190";27035
"191";139065
"192";79820
"193";6751
"194";64109
"195";4773
"196";60598
"197";100
"198";9675
"199";81035
"200";509
"201";64762
"202";10666
"203";9353
"204";9472
"205";259239
"206";54495
"207";688
"208";2587
"209";8170
"210";51442
"211";159013
"212";84557
"213";112399
"214";10171
"215";51297
"216";100379661
"217";571
"218";54345
"219";9282
"220";10694
"221";161291
"222";2686
"223";54097
"224";25825
"225";29947
"226";10069
"227";51360
"228";57045
"229";340543
"230";81031
"231";116154
"232";9248
"233";1471
"234";51569
"235";25763
"236";55351
"237";2121
"238";100129520
"239";26090
"240";9978
"241";406904
"242";26094
"243";63910
"244";112885
"245";25941
"246";27334
"247";5100
"248";6451
"249";5152
"250";7030
"251";642597
"252";2033
"253";6792
"254";339665
"255";55269
"256";22982
"257";10982
"258";10166
"259";319089
"260";81027
"261";1005
"262";9814
"263";57570
"264";94122
"265";9623
"266";122961
"267";54148
"268";8900
"269";5155
"270";56163
"271";6906
"272";550643
"273";6760
"274";84969
"275";3420
"276";10186
"277";54808
"278";5456
"279";139378
"280";9352
"281";80258
"282";10343
"283";292
"284";9495
"285";3689
"286";122809
"287";1638
"288";2856
"289";9837
"290";406922
"291";122830
"292";139604
"293";26088
"294";5457
"295";338872
"296";57626
"297";50945
"298";51006
"299";24137
"300";27018
"301";128859
"302";1630
"303";25966
"304";440145
"305";140258
"306";337959
"307";3843
"308";29919
"309";3547
"310";340578
"311";51586
"312";57533
"313";692201
"314";7032
"315";9050
"316";203430
"317";10133
"318";265
"319";83592
"320";220082
"321";286343
"322";11077
"323";139562
"324";5729
"325";1536
"326";26790
"327";26074
"328";8568
"329";113791
"330";4689
"331";55664
"332";3601
"333";6651
"334";27296
"335";166647
"336";2747
"337";100423062
"338";3543
"339";54058
"340";10762
"341";60625
"342";55848
"343";323
"344";23181
"345";92086
"346";728441
"347";728226
"348";6523
"349";56894
"350";5983
"351";23598
"352";757
"353";10079
"354";6526
"355";285498
"356";340526
"357";55748
"358";8796
"359";56474
"360";1859
"361";1910
"362";79589
"363";706
"364";54963
"365";8406
"366";6595
"367";5740
"368";55304
"369";54521
"370";10741
"371";8204
"372";106865373
"373";22913
"374";10857
"375";147339
"376";4053
"377";150356
"378";23641
"379";23236
"380";6430
"381";55869
"382";54801
"383";117285
"384";102723996
"385";23308
"386";341880
"387";406905
"388";147407
"389";9063
"390";5297
"391";139628
"392";30062
"393";7345
"394";57466
"395";5303
"396";28513
"397";6505
"398";8792
"399";1292
"400";8202
"401";6990
"402";79649
"403";57631
"404";140862
"405";9948
"406";23765
"407";3957
"408";59271
"409";79979
"410";10159
"411";22866
"412";6563
"413";23142
"414";4990
"415";125488
"416";51378
"417";51528
"418";139420
"419";2742
"420";11215
"421";150275
"422";10178
"423";5271
"424";9217
"425";514
"426";1114
"427";57565
"428";51497
"429";1538
"430";115201
"431";541578
"432";91966
"433";54093
"434";10608
"435";10800
"436";158835
"437";257240
"438";79861
"439";8566
"440";6456
"441";55176
"442";4507
"443";23556
"444";79983
"445";80821
"446";55787
"447";10785
"448";54149
"449";56000
"450";343637
"451";11061
"452";4864
"453";64881
"454";55812
"455";54069
"456";7327
"457";7504
"458";8675
"459";80339
"460";255967
"461";10953
"462";80341
"463";7525
"464";28316
"465";55902
"466";50808
"467";161198
"468";10253
"469";100506403
"470";861
"471";23239
"472";646658
"473";152006
"474";3772
"475";57697
"476";90121
"477";150350
"478";84525
"479";10336
"480";29802
"481";5160
"482";56156
"483";3166
"484";105373377
"485";649238
"486";55020
"487";389856
"488";54522
"489";341883
"490";139135
"491";84056
"492";58517
"493";60437
"494";11078
"495";27128
"496";54360
"497";152992
"498";55727
