"";"HumanEntrez"
"499";4285
"500";220081
"501";4129
"502";10047
"503";28986
"504";57446
"505";1997
"506";8480
"507";9681
"508";414918
"509";5716
"510";27439
"511";2353
"512";55958
"513";7050
"514";401498
"515";6453
"516";30811
"517";5427
"518";259282
"519";254065
"520";5209
"521";23231
"522";9811
"523";1060
"524";3956
"525";7276
"526";140700
"527";100272147
"528";53336
"529";7031
"530";26791
"531";5874
"532";22918
"533";23562
"534";89765
"535";1316
"536";6573
"537";92689
"538";5700
"539";64405
"540";5203
"541";4645
"542";6815
"543";5933
"544";90316
"545";5207
"546";317762
"547";728229
"548";79868
"549";4160
"550";54014
"551";51012
"552";8237
"553";2556
"554";54943
"555";139411
"556";55859
"557";128488
"558";140838
"559";122876
"560";53820
"561";57161
"562";9079
"563";29980
"564";56606
"565";25793
"566";7411
"567";25800
"568";5126
"569";5651
"570";57132
"571";22929
"572";3613
"573";26150
"574";102724159
"575";5822
"576";388818
"577";63977
"578";494470
"579";158866
"580";79953
"581";54885
"582";284252
"583";90701
"584";9875
"585";4487
"586";29775
"587";27330
"588";100130613
"589";5732
"590";112441426
"591";115106
"592";6013
"593";57381
"594";406947
"595";8029
"596";57580
"597";6640
"598";873
"599";49854
"600";128710
"601";55905
"602";6875
"603";85449
"604";8911
"605";147372
"606";389874
"607";9992
"608";643803
"609";56255
"610";55584
"611";57136
"612";4733
"613";2192
"614";22903
"615";58533
"616";3598
"617";1826
"618";9510
"619";140883
"620";23764
"621";10388
"622";388813
"623";64092
"624";253143
"625";10631
"626";351
"627";81617
"628";10742
"629";51635
"630";29104
"631";758
"632";414149
"633";680
"634";3460
"635";25829
"636";6122
"637";90293
"638";23515
"639";6925
"640";56984
"641";63951
"642";58490
"643";23116
"644";3985
"645";9882
"646";80760
"647";326
"648";10815
"649";671
"650";28954
"651";539
"652";203238
"653";7547
"654";2321
"655";7477
"656";51186
"657";51084
"658";4087
"659";7529
"660";6554
"661";3052
"662";23255
"663";65258
"664";2139
"665";11141
"666";79866
"667";5663
"668";6629
"669";140578
"670";79087
"671";4731
"672";54101
"673";111089941
"674";55741
"675";84532
"676";84064
"677";284273
"678";79366
"679";139425
"680";101928147
"681";221079
"682";768211
"683";25813
"684";140876
"685";139599
"686";201456
"687";4799
"688";874
"689";10979
"690";29103
"691";55015
"692";5173
"693";57403
"694";26793
"695";387923
"696";54937
"697";100526761
"698";221044
"699";10528
"700";23483
"701";139221
"702";25925
"703";89874
"704";147409
"705";4674
"706";190
"707";6102
"708";2157
"709";58476
"710";5009
"711";5255
"712";3745
"713";147463
"714";201501
"715";9895
"716";84247
"717";11317
"718";2187
"719";56936
"720";158358
"721";1525
"722";22862
"723";56062
"724";2922
"725";139285
"726";6493
"727";54994
"728";149986
"729";10621
"730";6860
"731";655
"732";128861
"733";10904
"734";51438
"735";139081
"736";4107
"737";4110
"738";9947
"739";182
"740";8225
"741";9578
"742";2245
"743";53349
"744";6452
"745";55286
"746";2925
"747";5316
"748";326340
"749";10311
"750";64430
"751";29126
"752";140901
"753";140832
"754";80333
"755";10891
"756";140850
"757";245934
"758";9701
"759";4320
"760";6612
"761";54941
"762";139596
"763";57728
"764";54877
"765";652991
"766";23676
"767";80380
"768";23762
"769";57167
"770";9365
"771";63916
"772";692213
"773";27133
"774";50487
"775";359710
"776";652
"777";7109
"778";25814
"779";7454
"780";51654
"781";1947
"782";10208
"783";4821
"784";5055
"785";5116
"786";498
"787";80323
"788";283600
"789";644524
"790";113828
"791";5816
"792";3787
"793";54498
"794";23112
"795";25771
"796";403313
"797";245936
"798";8710
"799";65991
"800";406963
"801";169966
"802";6093
"803";79155
"804";27336
"805";51230
"806";2287
"807";92129
"808";1602
"809";11164
"810";27127
"811";102800317
"812";1454
"813";10808
"814";402160
"815";55190
"816";51320
"817";11015
"818";55816
"819";4247
"820";5211
"821";8867
"822";4729
"823";55734
"824";27124
"825";55234
"826";122769
"827";56683
"828";110091775
"829";102724023
"830";8209
"831";57724
"832";54020
"833";53347
"834";26152
"835";55634
"836";10744
"837";122060
"838";8894
"839";57578
"840";644890
"841";10417
"842";90843
"843";150280
"844";56853
"845";8455
"846";85460
"847";9962
"848";26051
"849";392509
"850";57544
"851";1045
"852";140881
"853";1830
"854";94056
"855";5613
"856";85457
"857";5008
"858";85019
"859";26039
"860";54821
"861";26046
"862";3169
"863";56937
"864";1000
"865";140893
"866";26285
"867";8310
"868";5273
"869";22981
"870";164312
"871";7052
"872";645369
"873";26953
"874";11279
"875";55197
"876";64098
"877";729665
"878";11096
"879";147381
"880";10287
"881";5596
"882";54084
"883";677831
"884";140731
"885";6919
"886";145173
"887";55184
"888";54065
"889";54102
"890";55034
"891";80336
"892";54872
"893";10389
"894";25809
"895";150160
"896";1121
"897";139341
"898";631
"899";5509
"900";143
"901";142689
"902";81929
"903";6191
"904";84164
"905";245939
"906";79959
"907";3423
"908";80781
"909";579
"910";4693
"911";3929
"912";122953
"913";54033
"914";4661
"915";643812
"916";400224
"917";5264
"918";5932
"919";8398
"920";3425
"921";8208
"922";5529
"923";9375
"924";79697
"925";145407
"926";54363
"927";10810
"928";5366
"929";7307
"930";755
"931";7380
"932";84307
"933";140886
"934";9334
"935";407055
"936";10149
"937";170960
"938";5771
"939";30011
"940";79746
"941";415116
"942";259240
"943";245930
"944";9957
"945";7263
"946";85376
"947";6227
"948";8872
"949";650
"950";140689
"951";79159
"952";146
"953";8624
"954";51227
"955";220441
"956";114794
"957";5860
"958";7006
"959";55250
"960";1665
"961";347516
"962";140628
"963";2835
"964";955
"965";10483
"966";54737
"967";7541
"968";112849
"969";2530
"970";53834
"971";80273
"972";140856
"973";83604
"974";23054
"975";55745
"976";64699
"977";80224
"978";80209
"979";56259
"980";6385
"981";23253
"982";4943
"983";54502
"984";23170
"985";4987
"986";79716
"987";9145
"988";56180
"989";4857
"990";5706
"991";23076
"992";339302
"993";1030
"994";80331
"995";337867
"996";317761
"997";2258
"998";7056
"999";123096
"1000";1184
"1001";6782
"1002";58494
"1003";1409
"1004";9767
"1005";84991
"1006";357
"1007";8823
"1008";387921
"1009";79723
"1010";81542
"1011";11135
"1012";5494
"1013";959
"1014";9889
"1015";9459
"1016";9658
"1017";128408
"1018";11034
"1019";139105
"1020";5834
"1021";105
"1022";7022
"1023";55320
"1024";9402
"1025";139886
"1026";389197
"1027";64968
"1028";92747
"1029";4159
"1030";5935
"1031";4435
"1032";83643
"1033";10557
"1034";55763
"1035";1908
"1036";11031
"1037";81832
"1038";2971
"1039";10009
"1040";55617
"1041";8200
"1042";2551
"1043";112487
"1044";140683
"1045";283554
"1046";10950
"1047";768239
"1048";1400
"1049";54840
"1050";81624
"1051";9825
"1052";55691
"1053";158038
"1054";9185
"1055";149840
"1056";129138
"1057";245932
"1058";22990
"1059";51260
"1060";114131
"1061";145508
"1062";7179
"1063";2560
"1064";171546
"1065";6047
"1066";57536
"1067";1002
"1068";64781
"1069";8848
"1070";54951
"1071";341640
"1072";3476
"1073";23767
"1074";4330
"1075";284266
"1076";116159
"1077";55364
"1078";55906
"1079";9452
"1080";284257
"1081";11326
"1082";26280
"1083";3976
"1084";152789
"1085";64919
"1086";85508
"1087";353497
"1088";56246
"1089";10562
"1090";10478
"1091";56849
"1092";3642
"1093";245929
"1094";6495
"1095";51512
"1096";438
"1097";27253
"1098";140710
"1099";9946
"1100";84075
"1101";9766
"1102";6166
"1103";395
"1104";6789
"1105";139324
"1106";4158
"1107";83541
"1108";10600
"1109";11172
"1110";8852
"1111";60401
"1112";150353
"1113";10640
"1114";140732
"1115";55051
"1116";158800
"1117";56548
"1118";9628
"1119";27349
"1120";1476
"1121";4200
"1122";81610
"1123";55615
"1124";56478
"1125";109617014
"1126";2618
"1127";402415
"1128";56245
"1129";1741
"1130";93081
"1131";389763
"1132";51493
"1133";64131
"1134";6525
"1135";11224
"1136";55795
"1137";387129
"1138";283518
"1139";406953
"1140";642
"1141";256815
"1142";8858
"1143";4038
"1144";6346
"1145";57505
"1146";64066
"1147";273
"1148";6590
"1149";27339
"1150";9440
"1151";119467
"1152";84858
"1153";144165
"1154";990
"1155";9363
"1156";54471
"1157";1191
"1158";60560
"1159";26033
"1160";1282
"1161";9833
"1162";10935
"1163";23196
"1164";89853
"1165";100129407
"1166";4927
"1167";27131
"1168";83737
"1169";8001
"1170";64219
"1171";81790
"1172";5446
"1173";254225
"1174";11333
"1175";9066
"1176";51466
"1177";3854
"1178";286887
"1179";386676
"1180";386672
"1181";1583
"1182";54901
"1183";6541
"1184";10422
"1185";128876
"1186";3382
"1187";4973
"1188";11023
"1189";91768
"1190";677814
"1191";23158
"1192";2098
"1193";23481
"1194";285877
"1195";10325
"1196";138199
"1197";10326
"1198";140885
"1199";5330
"1200";84766
"1201";26136
"1202";258010
"1203";563
"1204";80157
"1205";124961
"1206";113130
"1207";79890
"1208";1669
"1209";1670
"1210";1668
"1211";1671
"1212";54764
"1213";123606
"1214";7057
"1215";474354
"1216";5476
"1217";54769
"1218";3654
"1219";106707243
"1220";50840
"1221";474343
"1222";10813
"1223";55809
"1224";23746
"1225";89778
"1226";339
"1227";280658
"1228";727837
"1229";10214
"1230";6759
"1231";6756
"1232";6758
"1233";26013
"1234";10825
"1235";5063
"1236";100126318
"1237";149954
"1238";10816
"1239";313
"1240";320
"1241";51132
"1242";5600
"1243";375757
"1244";100507608
"1245";83901
"1246";100505724
"1247";6445
"1248";23431
"1249";54467
"1250";102723451
"1251";57698
"1252";5091
"1253";54881
"1254";388021
"1255";284110
"1256";26778
"1257";1207
"1258";114659
"1259";8277
"1260";23452
"1261";23349
"1262";132321
"1263";65008
"1264";8508
"1265";6721
"1266";10541
"1267";5530
"1268";81892
"1269";8773
"1270";2188
"1271";137362
"1272";3820
"1273";9567
"1274";9631
"1275";288
"1276";440163
"1277";29090
"1278";10106
"1279";84133
"1280";83550
"1281";7295
"1282";9491
"1283";55350
"1284";84286
"1285";135152
"1286";23786
"1287";6656
"1288";7164
"1289";5099
"1290";8854
"1291";84650
"1292";5721
"1293";55026
"1294";79144
"1295";84904
"1296";79109
"1297";114984
"1298";79811
"1299";8555
"1300";115294
"1301";7113
"1302";30844
"1303";51762
"1304";6251
"1305";222642
"1306";405754
"1307";1852
"1308";10671
"1309";9620
"1310";158763
"1311";64850
"1312";7980
"1313";115024
"1314";406896
"1315";5020
"1316";23157
"1317";392636
"1318";5797
"1319";1948
"1320";570
"1321";23759
"1322";28952
"1323";219623
"1324";27030
"1325";25851
"1326";107987479
"1327";107987478
"1328";1565
"1329";6527
"1330";51013
"1331";2649
"1332";203522
"1333";643677
"1334";9227
"1335";89978
"1336";23242
"1337";83447
"1338";7224
"1339";5753
"1340";147495
"1341";7185
"1342";692057
"1343";3190
"1344";988
"1345";23161
"1346";8273
"1347";129049
"1348";7353
"1349";64806
"1350";221074
"1351";9445
"1352";81318
"1353";119765
"1354";4908
"1355";3170
"1356";6725
"1357";797
"1358";847
"1359";4686
"1360";79056
"1361";83595
"1362";403257
"1363";57553
"1364";2740
"1365";393
"1366";51608
"1367";7278
"1368";8935
"1369";8226
"1370";11230
"1371";9500
"1372";3660
"1373";90203
"1374";4651
"1375";2118
"1376";337879
"1377";253430
"1378";100527943
"1379";51473
"1380";197335
"1381";26118
"1382";2644
"1383";171024
"1384";440093
"1385";4017
"1386";83740
"1387";12
"1388";677816
"1389";374618
"1390";987
"1391";8539
"1392";84552
"1393";6531
"1394";92715
"1395";106821730
"1396";56924
"1397";9025
"1398";219436
"1399";51008
"1400";27164
"1401";574034
"1402";2277
"1403";100533467
"1404";54841
"1405";57168
"1406";6428
"1407";57511
"1408";157922
"1409";114134
"1410";1306
"1411";55968
"1412";2009
"1413";70
"1414";85012
"1415";55536
"1416";10568
"1417";55069
"1418";113263
"1419";6035
"1420";80153
"1421";5535
"1422";22841
"1423";84070
"1424";51496
"1425";644815
"1426";55526
"1427";109617004
"1428";283092
"1429";138428
"1430";64768
"1431";9679
"1432";27241
"1433";6632
"1434";8774
"1435";25977
"1436";90523
"1437";283420
"1438";644353
"1439";442319
"1440";10021
"1441";8492
"1442";8516
"1443";122258
"1444";3755
"1445";102724594
"1446";58524
"1447";55717
"1448";22824
"1449";81689
"1450";84549
"1451";84645
"1452";25837
"1453";3678
"1454";150248
"1455";23223
"1456";1270
"1457";6136
"1458";57636
"1459";55125
"1460";166863
"1461";367
"1462";54682
"1463";387119
"1464";2197
"1465";10893
"1466";2314
"1467";2895
"1468";212
"1469";140461
"1470";6036
"1471";23264
"1472";259296
"1473";259292
"1474";259294
"1475";259290
"1476";259293
"1477";259291
"1478";259289
"1479";574444
"1480";116151
"1481";338596
"1482";574508
"1483";1828
"1484";7093
"1485";10347
"1486";55421
"1487";574434
"1488";5292
"1489";3188
"1490";8195
"1491";10690
"1492";154807
"1493";9818
"1494";340547
"1495";5955
"1496";256691
"1497";9905
"1498";64601
"1499";9774
"1500";646799
"1501";143458
"1502";5223
"1503";7290
"1504";10766
"1505";340156
"1506";3026
"1507";526
"1508";663
"1509";1434
"1510";5435
"1511";9986
"1512";113201
"1513";164668
"1514";2631
"1515";10488
"1516";26228
"1517";7299
"1518";3439
"1519";3448
"1520";3446
"1521";3441
"1522";3445
"1523";5111
"1524";26771
"1525";7570
"1526";84861
"1527";6173
"1528";10548
"1529";30837
"1530";57721
"1531";26297
"1532";8048
"1533";3487
"1534";79922
"1535";154810
"1536";7111
"1537";284099
"1538";56001
"1539";728343
"1540";85352
"1541";283
"1542";80829
"1543";79048
"1544";89846
"1545";283659
"1546";9951
"1547";4843
"1548";51363
"1549";4318
"1550";152007
"1551";2036
"1552";57336
"1553";65110
"1554";64579
"1555";6372
"1556";54960
"1557";2235
"1558";10363
"1559";9348
"1560";84681
"1561";283078
"1562";57379
"1563";2069
"1564";113278
"1565";5611
"1566";57619
"1567";51495
"1568";6103
"1569";537
"1570";80343
"1571";10403
"1572";9054
"1573";10398
"1574";11173
"1575";284254
"1576";727924
"1577";283694
"1578";5310
"1579";11193
"1580";55196
"1581";23522
"1582";26040
"1583";140462
"1584";2027
"1585";124401
"1586";128414
"1587";115330
"1588";10874
"1589";64922
"1590";3784
"1591";9586
"1592";10943
"1593";80727
"1594";6319
"1595";26256
"1596";8763
"1597";166752
"1598";128866
"1599";84270
"1600";90187
"1601";6659
"1602";54886
"1603";486
"1604";100533181
"1605";201799
"1606";3227
"1607";9397
"1608";598
"1609";586
"1610";56884
"1611";7165
"1612";406924
"1613";65078
"1614";81567
"1615";125336
"1616";10291
"1617";10586
"1618";84905
"1619";639
"1620";54919
"1621";255220
"1622";130
"1623";54187
"1624";221496
"1625";387911
"1626";55089
"1627";23424
"1628";9463
"1629";100289279
"1630";728577
"1631";50805
"1632";81539
"1633";143496
"1634";54205
"1635";4351
"1636";2650
"1637";201299
"1638";57453
"1639";340533
"1640";84961
"1641";827
"1642";3909
"1643";57158
"1644";84515
"1645";25841
"1646";4677
"1647";3799
"1648";116379
"1649";63971
"1650";159963
"1651";90627
"1652";343702
"1653";9584
"1654";6658
"1655";119032
"1656";128977
"1657";4942
"1658";91851
"1659";10892
"1660";143384
"1661";9446
"1662";10124
"1663";51527
"1664";10544
"1665";51274
"1666";1038
"1667";219578
"1668";84926
"1669";25803
"1670";283948
"1671";1464
"1672";3671
"1673";6853
"1674";85441
"1675";80816
"1676";23209
"1677";1906
"1678";5607
"1679";347541
"1680";219988
"1681";203286
"1682";118663
"1683";100329135
"1684";203245
"1685";80000
"1686";115817
"1687";403341
"1688";22921
"1689";64900
"1690";150274
"1691";79789
"1692";724022
"1693";118987
"1694";51754
"1695";522
"1696";346288
"1697";26235
"1698";10
"1699";222223
"1700";23012
"1701";171568
"1702";100526740
"1703";84701
"1704";92667
"1705";84287
"1706";147179
"1707";6318
"1708";6317
"1709";9314
"1710";2886
"1711";50640
"1712";83746
"1713";102724560
"1714";284098
"1715";10114
"1716";6850
"1717";11142
"1718";23119
"1719";58505
"1720";133121
"1721";25807
"1722";65109
"1723";114798
"1724";57089
"1725";4130
"1726";7223
"1727";9885
"1728";23779
"1729";22878
"1730";122742
"1731";3588
"1732";4223
"1733";9643
"1734";59084
"1735";101059915
"1736";653423
"1737";5275
"1738";619499
"1739";10733
"1740";9894
"1741";4697
"1742";80013
"1743";643338
"1744";85290
"1745";80817
"1746";10551
"1747";54793
"1748";64759
"1749";27075
"1750";84707
"1751";440073
"1752";109616978
"1753";145447
"1754";78999
"1755";51701
"1756";255411
"1757";23368
"1758";143282
"1759";266812
"1760";2581
"1761";1675
"1762";90204
"1763";11238
"1764";6424
"1765";64096
"1766";140685
"1767";64855
"1768";26787
"1769";170712
"1770";29984
"1771";9425
"1772";100124540
"1773";164714
"1774";23405
"1775";245937
"1776";57558
"1777";4694
"1778";22832
"1779";9873
"1780";54210
"1781";81619
"1782";57689
"1783";84131
"1784";84962
"1785";51350
"1786";5558
"1787";9133
"1788";23710
"1789";392
"1790";89801
"1791";10973
"1792";80115
"1793";221472
"1794";57484
"1795";116444
"1796";8471
"1797";114791
"1798";254228
"1799";7542
"1800";1791
"1801";504180
"1802";245908
"1803";5101
"1804";158787
"1805";3927
"1806";8034
"1807";143471
"1808";574413
"1809";85364
"1810";56898
"1811";50838
"1812";5570
"1813";390443
"1814";3455
"1815";767563
"1816";11067
"1817";23230
"1818";3897
"1819";6096
"1820";79025
"1821";4092
"1822";56903
"1823";84951
"1824";64359
"1825";401548
"1826";11130
"1827";23229
"1828";51302
"1829";256380
"1830";152573
"1831";2495
"1832";161514
"1833";55013
"1834";6634
"1835";125170
"1836";30816
"1837";5723
"1838";6901
"1839";137868
"1840";83853
"1841";8243
"1842";157313
"1843";145781
"1844";132430
"1845";23386
"1846";2712
"1847";1287
"1848";440335
"1849";4625
"1850";644041
"1851";79003
"1852";5454
"1853";6647
"1854";55328
"1855";219670
"1856";114876
"1857";55161
"1858";83933
"1859";122046
"1860";8022
"1861";55728
"1862";55608
"1863";5314
"1864";84817
"1865";26507
"1866";5413
"1867";738
"1868";7225
"1869";10078
"1870";79072
"1871";574517
"1872";574516
"1873";574518
"1874";100422847
"1875";100126337
"1876";574514
"1877";55761
"1878";93380
"1879";2562
"1880";1398
"1881";100533177
"1882";55280
"1883";55244
"1884";91582
"1885";7016
"1886";3662
"1887";11001
"1888";22853
"1889";740
"1890";390113
"1891";116938
"1892";398
"1893";57614
"1894";9308
"1895";22974
"1896";8467
"1897";56913
"1898";7511
"1899";79154
"1900";29850
"1901";5693
"1902";9184
"1903";10369
"1904";9716
"1905";36
"1906";10406
"1907";3561
"1908";160298
"1909";8661
"1910";54457
"1911";246100
"1912";158809
"1913";10999
"1914";4643
"1915";25911
"1916";5720
"1917";22904
"1918";2996
"1919";2994
"1920";2993
"1921";92565
"1922";4282
"1923";64718
"1924";27165
"1925";57143
"1926";386617
"1927";6781
"1928";221468
"1929";80025
"1930";122786
"1931";60468
"1932";122748
"1933";27290
"1934";23148
"1935";4008
"1936";85004
"1937";283677
"1938";84109
"1939";9480
"1940";1119
"1941";55558
"1942";30851
"1943";692086
"1944";79444
"1945";29780
"1946";164684
"1947";1917
"1948";55644
"1949";11212
"1950";286097
"1951";10042
"1952";2346
"1953";79095
"1954";79608
"1955";26576
"1956";50839
"1957";55810
"1958";154150
"1959";5887
"1960";3934
"1961";2961
"1962";282974
"1963";26240
"1964";414325
"1965";55894
"1966";55857
"1967";9349
"1968";157697
"1969";3920
"1970";253017
"1971";9306
"1972";84310
"1973";51645
"1974";10861
"1975";84708
"1976";342184
"1977";8932
"1978";158830
"1979";80150
"1980";7291
"1981";10426
"1982";401236
"1983";64840
"1984";338879
"1985";100507341
"1986";5161
"1987";84181
"1988";221035
"1989";201798
"1990";57497
"1991";63935
"1992";140711
"1993";162681
"1994";114904
"1995";5638
"1996";50964
"1997";7015
"1998";222662
"1999";2572
"2000";23275
"2001";768222
"2002";79980
"2003";728591
"2004";7512
"2005";55257
"2006";9231
"2007";100316904
"2008";348094
"2009";55610
"2010";5137
"2011";124912
"2012";5371
"2013";54487
"2014";79618
"2015";574433
"2016";80005
"2017";84188
"2018";3622
"2019";213
"2020";60685
"2021";219990
"2022";7169
"2023";4552
"2024";2990
"2025";79094
"2026";80725
"2027";55775
"2028";157773
"2029";9751
"2030";8892
"2031";219749
"2032";4586
"2033";23240
"2034";3632
"2035";118812
"2036";51705
"2037";387856
"2038";4704
"2039";1236
"2040";27283
"2041";51250
"2042";26338
"2043";219437
"2044";171586
"2045";79660
"2046";2558
"2047";5621
"2048";154141
"2049";55153
"2050";442897
"2051";221061
"2052";149951
"2053";692094
"2054";494326
"2055";10268
"2056";64949
"2057";60487
"2058";6754
"2059";55227
"2060";8417
"2061";29777
"2062";145270
"2063";146330
"2064";170302
"2065";84520
"2066";58528
"2067";8125
"2068";340260
"2069";1186
"2070";56905
"2071";10463
"2072";55698
"2073";340562
"2074";84612
"2075";9514
"2076";10003
"2077";91749
"2078";201965
"2079";390445
"2080";55082
"2081";390201
"2082";79882
"2083";388849
"2084";9649
"2085";8803
"2086";92714
"2087";9536
"2088";51526
"2089";55344
"2090";84898
"2091";8482
"2092";3226
"2093";56341
"2094";266977
"2095";93978
"2096";3326
"2097";11169
"2098";4082
"2099";4172
"2100";283871
"2101";10493
"2102";4814
"2103";221710
"2104";5082
"2105";6540
"2106";441581
"2107";201780
"2108";257019
"2109";406980
"2110";23607
"2111";64399
"2112";8424
"2113";5507
"2114";375759
"2115";390598
"2116";79695
"2117";8678
"2118";26263
"2119";9205
"2120";158248
"2121";3397
"2122";2764
"2123";22984
"2124";9135
"2125";23650
"2126";60561
"2127";266629
"2128";23086
"2129";22872
"2130";83548
"2131";64062
"2132";2892
"2133";901
"2134";27301
"2135";65084
"2136";8724
"2137";27071
"2138";92002
"2139";388886
"2140";143425
"2141";7306
"2142";6731
"2143";619373
